Артикул;Цена;Размеры внешние;Вес, кг;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Верстак Profi (№ 108) WT100.F1/F1.000;13913руб.;866x1000x700;37.5;корпус RAL 7038;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Столешница верстака изготовлена из МДФ толщиной 24мм покрытой оцинкованным листовым металлом толщиной 1,2 мм. Максимальная нагрузка на верстак - 350 кг.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038).Скачать пример технического задания в формате .PDFКомплектация:Столешница WT-100 - 1шт.Опора PROFI WF-1 - 2шт.Полка и Стенка WSh-160/2 - 1шт. ;https://www.safe.ru/upload/iblock/ff0/wt_100_108_min.jpg;;;;
Верстак Profi (№ 109) WT100.F1/F1.100;24113руб.;866x1000x700;52;корпус RAL 7038;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Столешница верстака изготовлена из МДФ толщиной 24мм покрытой оцинкованным листовым металлом толщиной 1,2 мм. Максимальная нагрузка на верстак - 350 кг.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038).Нагрузка на ящик 30 кгСкачать пример технического задания в формате .PDFКомплектация:Столешница WT-100 - 1шт.Опора PROFI WF-1 - 2шт.Полка и Стенка WSh-160/2 - 1шт.Ящик Profi WD-0 – 1 шт. ;https://www.safe.ru/upload/iblock/d8f/wt_100_box_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/589/450_490_1/589891dc30c86b37d28d2667f70b3189.jpg;https://www.safe.ru/upload/resize_cache/iblock/8d8/450_490_1/Опора-WF-1.jpg;https://www.safe.ru/upload/resize_cache/iblock/608/450_490_1/Полка-и-Стенка-WSh.jpg;
Верстак Profi (№201) WT120.WD1/F1.000;21981руб.;866x1200x700;56.3;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Тумба укомплектована 2-мя съемными регулируемыми полками и 1 дверцей, возможность смены стороны открывания двери. Ключевой замок на дверце тумбы. Нагрузка на полку 30 кг.Максимальная нагрузка на верстак - 750 кгСтолешница верстака изготовлена из МДФ толщиной 24мм покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038)Скачать пример технического задания в формате .PDFКомплектация:Столешница WT-120 - 1шт.Тумба WD-1 - 1 шт.Опора PROFI WF-1 - 1шт. Полка и Стенка WSh-120/1 - 1шт. ;https://www.safe.ru/upload/iblock/a62/a62108ec0488139736d08101c595ca55.jpg;https://www.safe.ru/upload/resize_cache/iblock/4e4/450_490_1/Тумба-WD-1_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/f5f/450_490_1/Тумба-WD-1.jpg;https://www.safe.ru/upload/resize_cache/iblock/ebd/450_490_1/ebd0bab6f685f316c9447adaa28428d1.jpg;https://www.safe.ru/upload/resize_cache/iblock/e15/450_490_1/Опора-WF-1.jpg
Верстак Profi (№ 202) WT120.WD5/F1.000;31595руб.;866x1200x700;70.3;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Тумба укомплектована 5-ю выдвижными ящиками. Телескопические напрявляющие. Нагрузка на ящик 30 кг. Все ящики закрываются на центральный ключевой замок.Максимальная нагрузка на верстак - 750 кгСтолешница верстака изготовлена из МДФ толщиной 24мм покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Скачать пример технического задания в формате .PDFКомплектация:Столешница WT-120 - 1шт.Тумба WD-5 - 1 шт.Опора PROFI WF-1 - 1шт. Полка и Стенка WSh-120/1 - 1шт. ;https://www.safe.ru/upload/iblock/adf/adf2204f56e7ea8c8614dbb369409822.jpg;https://www.safe.ru/upload/resize_cache/iblock/a2c/450_490_1/Тумба-WD-5.jpg;https://www.safe.ru/upload/resize_cache/iblock/25d/450_490_1/Тумба-WD-5_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/865/450_490_1/8656a56c130767ca059923c4e786cdbc.jpg;https://www.safe.ru/upload/resize_cache/iblock/c3c/450_490_1/Опора-WF-1.jpg
Верстак Profi (№203) WT120.WD1/F1.010;29595руб.;1366x1200x700;64;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Тумба укомплектована 2-мя съемными регулируемыми полками и 1 дверцей, возможность смены стороны открывания двери. Ключевой замок на дверце тумбы. Нагрузка на полку 30 кгМаксимальная нагрузка на верстак - 750 кгСтолешница верстака изготовлена из МДФ толщиной 24мм покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Комплектация:Столешница Profi WT-120 - 1шт.Тумба Profi WD-1 - 1шт.Опора WF-1 - 1шт.Экран WS-120 без косынок - 1шт.Комплект косынок для крепления экранов WS - 1шт.Полка стенка WSh 120/1 - 1шт.Полка большая LSh - 1шт.Полка малая SSh - 1шт.Держатель ключей WH - 1шт.Держатель инструмента TH - 1шт.Крючок НК - 2шт.Крючок НК 3 - 2шт.Крючок НК 4 - 2шт.;https://www.safe.ru/upload/iblock/912/profi_203_min.jpg;;;;
Верстак Profi (№400) WT140.WD1/F1.000;24541руб.;866x1400x700;58.3;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Тумба укомплектована 2-мя съемными регулируемыми полками и 1 дверцей, возможность смены стороны открывания двери. Ключевой замок на дверце тумбы. Нагрузка на полку 30 кг.Максимальная нагрузка на верстак - 750 кгСтолешница верстака изготовлена из МДФ толщиной 24мм покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Скачать пример технического задания в формате .PDFКомплектация:Столешница WT-140 - 1шт.Тумба WD-1 - 1 шт.Опора PROFI WF-1 - 1шт.Полка и Стенка WSh-140/1 - 1шт. ;https://www.safe.ru/upload/iblock/d9c/d9ceed320926ae2bf9d869cdee2a33af.jpg;https://www.safe.ru/upload/resize_cache/iblock/c8a/450_490_1/c8a1a5eda57d517f78103e6a2f2e7ae4.jpg;https://www.safe.ru/upload/resize_cache/iblock/53a/450_490_1/Тумба-WD-1.jpg;https://www.safe.ru/upload/resize_cache/iblock/fc1/450_490_1/Тумба-WD-1_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/233/450_490_1/Опора-WF-1.jpg
Верстак Profi (№401) WT140.WD5/F1.000;34155руб.;866x1400x700;74.3;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Тумба укомплектована 5-ю выдвижными ящиками. Телескопические напрявляющие. Нагрузка на ящик 30 кг. Все ящики закрываются на центральный ключевой замок.Максимальная нагрузка на верстак - 750 кгСтолешница верстака изготовлена из МДФ толщиной 24мм покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Скачать пример технического задания в формате .PDFКомплектация:Столешница WT-140 - 1шт.Тумба WD-5 - 1 шт.Опора PROFI WF-1 - 1шт.Полка и Стенка WSh-140/1 - 1шт. ;https://www.safe.ru/upload/iblock/a46/a4698650223398130d6c5bc133f06749.jpg;https://www.safe.ru/upload/resize_cache/iblock/027/450_490_1/Тумба-WD-5.jpg;https://www.safe.ru/upload/resize_cache/iblock/5d9/450_490_1/Тумба-WD-5_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/3e7/450_490_1/3e78ffbe829e3a823c120afa87ca6601.jpg;https://www.safe.ru/upload/resize_cache/iblock/b86/450_490_1/Опора-WF-1.jpg
Верстак Profi (№600) WT160.WD1/F1.000;25357руб.;866x1600x700;63.3;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Верстак состоит из тумбы WD1 и опоры F1 .Тумба укомплектована 2-мя съемными регулируемыми полками и 1 дверцей, возможность смены стороны открывания двери. Ключевой замок на дверце тумбы. Нагрузка на полку 30 кг.Максимальная нагрузка на верстак - 750 кгСтолешница верстака изготовлена из МДФ толщиной 24мм покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Скачать пример технического задания в формате .PDFКомплектация:Столешница WT-160 - 1шт.Тумба WD-1 - 1 шт.Опора PROFI WF-1 - 1шт.Полка и Стенка WSh-160/1 - 1шт. ;https://www.safe.ru/upload/iblock/4a7/4a71c6d1f81045df72a41abaf6251b50.jpg;https://www.safe.ru/upload/resize_cache/iblock/67a/450_490_1/Тумба-WD-1.jpg;https://www.safe.ru/upload/resize_cache/iblock/bfb/450_490_1/Тумба-WD-1_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/8f0/450_490_1/8f021d053bce9855bc0e369e8ef08083.jpg;https://www.safe.ru/upload/resize_cache/iblock/670/450_490_1/Опора-WF-1.jpg
Верстак Profi (№601) WT160.WD5/F1.000;34971руб.;866x1600x700;79.3;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Тумба укомплектована 5-ю выдвижными ящиками. Телескопические направляющие. Нагрузка на ящик 30 кг. Все ящики закрываются на центральный ключевой замок.Максимальная нагрузка на верстак - 750 кгСтолешница верстака изготовлена из МДФ толщиной 24мм, покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Скачать пример технического задания в формате .PDFКомплектация:Столешница WT-160 - 1шт.Тумба WD-5 - 1 шт.Опора PROFI WF-1 - 1шт.Полка и Стенка WSh-160/1 - 1шт. ;https://www.safe.ru/upload/iblock/039/03910283c25326a7ce77011623dbf8db.jpg;https://www.safe.ru/upload/resize_cache/iblock/d8b/450_490_1/Тумба-WD-5.jpg;https://www.safe.ru/upload/resize_cache/iblock/b72/450_490_1/Тумба-WD-5_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/69b/450_490_1/69ba54d98cd76fa0aa1280641582754e.jpg;https://www.safe.ru/upload/resize_cache/iblock/65a/450_490_1/Опора-WF-1.jpg
Верстак Profi (№602) WT160.WD1/WD1.000;31946руб.;866x1600x700;77;корпус -  серый шагрень (RAL 7038), лицевая панель  дверцы тумбы – синий шагрень (RAL 5002);порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах.Верстак  состоит из 2 тумб WD1.Тумба укомплектована  2-мя съемными регулируемыми полками  и 1 дверцей, возможность смены стороны открывания двери. Ключевой замок  на дверце тумбы. Нагрузка на полку 30 кг.Максимальная нагрузка на верстак - 750 кгСтолешница верстака изготовлена из МДФ толщиной 24мм, покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Поставляются в разобранном видеСкачать пример технического задания в формате .PDFКомплектация:Столешница WT-160 - 1шт.Тумба WD-1 - 2 шт.Полка и Стенка WSh-160/2 - 1шт. ;https://www.safe.ru/upload/iblock/023/023037b1c1821e6a6d8c6b3c76f77a05.jpg;https://www.safe.ru/upload/resize_cache/iblock/d45/450_490_1/Тумба-WD-1.jpg;https://www.safe.ru/upload/resize_cache/iblock/94b/450_490_1/Тумба-WD-1_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/4e7/450_490_1/Столешница_160_01.jpg;https://www.safe.ru/upload/resize_cache/iblock/7bc/450_490_1/Полка-и-Стенка-WSh.jpg
Верстак Profi (№603) WT160.WD1/WD5.000;41560руб.;866x1600x700;93;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах. Верстак состоит из 2 тумб WD1 и WD5.Тумба WD1 укомплектована 2-мя съемными регулируемыми полками и 1 дверцей, возможность смены стороны открывания двери. Ключевой замок на дверце тумбы. Нагрузка на полку 30 кг.  Тумба WD5 укомплектована 5-ю выдвижными ящиками. Ящики открываются на телескопических направляющих. Нагрузка на ящик 30 кг. Все ящики закрываются на центральный ключевой замок.Максимальная нагрузка на верстак - 1000 кгСтолешница верстака изготовлена из МДФ толщиной 24мм, покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Поставляются в разобранном видеСкачать пример технического задания в формате .PDFКомплектация:Столешница WT-160 - 1шт.Тумба WD-1 - 1 шт.Тумба WD- 5 - 1 шт.Полка и Стенка WSh-160/2 - 1шт.;https://www.safe.ru/upload/iblock/b6f/b6f6d50d44fe8d0f807dd1c6975947a0.jpg;https://www.safe.ru/upload/resize_cache/iblock/c98/450_490_1/Тумба-WD-1.jpg;https://www.safe.ru/upload/resize_cache/iblock/b0d/450_490_1/Тумба-WD-1_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/d0b/450_490_1/Тумба-WD-5.jpg;https://www.safe.ru/upload/resize_cache/iblock/5f8/450_490_1/Тумба-WD-5_open.jpg
Верстак Profi (№604) WT160.WD5/WD5.000;51173руб.;866x1600x700;109;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах. Верстак состоит из 2 тумб WD5. Тумба укомплектована 5-ю выдвижными ящиками. Ящики открываются на телескопических направляющих. Нагрузка на ящик 30 кг. Все ящики закрываются на центральный ключевой замок.Максимальная нагрузка на верстак - 1000 кгСтолешница верстака изготовлена из МДФ толщиной 24мм, покрытой оцинкованным листовым металлом толщиной 1,2 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Поставляются в разобранном видеСкачать пример технического задания в формате .PDFКомплектация:Столешница WT-160 - 1шт.Тумба WD-5 - 2 шт.Полка и Стенка WSh-160/2 - 1шт. ;https://www.safe.ru/upload/iblock/4f0/4f032417d53a7fce906cddcb17214702.jpg;https://www.safe.ru/upload/resize_cache/iblock/52e/450_490_1/Тумба-WD-5.jpg;https://www.safe.ru/upload/resize_cache/iblock/c15/450_490_1/Тумба-WD-5_open.jpg;https://www.safe.ru/upload/resize_cache/iblock/78b/450_490_1/78b640a527f5050beed1bc92a51a1178.jpg;https://www.safe.ru/upload/resize_cache/iblock/c03/450_490_1/Полка-и-Стенка-WSh.jpg
Верстак Profi (№605) WTS160.WD1/WD5.021;79769руб.;1866x1600x750;123;корпус RAL 7038, дверь ящика RAL 5002.;порошковое;1 год;ПРОМЕТ;Россия;Металлические слесарные (столярные) верстаки серии W предназначены для удобной организации рабочего места на производстве, в учебных заведениях, мастерских и гаражах. Верстак состоит из 2 тумб WD5. Тумба укомплектована 5-ю выдвижными ящиками. Ящики открываются на телескопических направляющих. Нагрузка на ящик 30 кг. Все ящики закрываются на центральный ключевой замок.Максимальная нагрузка на верстак - 1000 кгСтолешница верстака изготовлена из фанеры толщиной 30 мм., покрытой оцинкованным листовым металлом толщиной 1,5 мм.Верстак окрашен порошковой краской, цвет покрытия корпуса серый шагрень (RAL 7038), лицевая панель дверцы тумбы – синий шагрень (RAL 5002) Дополнительно верстак можно укомплектовать перфорированным экраном соответствующего размера, светодиодным освещением и аксессуарами для инструментов.Поставляются в разобранном видеКомплектация:Столешница Expert WTS-160 - 1шт.Тумба Profi WD-5 - 1шт.Тумба Profi WD-1 - 1шт.Экран WS-160 без косынок - 2шт.Комплект косынок для крепления экранов WS - 1шт.Полка стенка WSh 160/2 - 1шт.Полка большая LSh - 1шт.Полка малая SSh - 1шт.Держатель ключей WH - 1шт.Держатель инструмента TH - 1шт.Крючок НК - 2шт.Крючок НК 3 - 2шт.Крючок НК 4 - 2шт.Комплект освещения W - 1шт.;https://www.safe.ru/upload/iblock/09f/profi_605_min.jpg;;;;
Верстак двухтумбовый с экраном, PROFI WT160.WD1/WD5.000(с перф. Экраном);;1400x1600x700;-;;порошковое;;;;Глубина 700 ммДлина 1600 мм Количество выдвижных ящиков 5 шт.Количество открытых полок 1 шт.Максимальная нагрузка 1000 кг.Наличие экрана для инструментовдаТолщина столешницы 3 мм.Верстак двухтумбовыйВысот 870 мм.Высота с экраном 1400 мм.                                ;https://www.safe.ru/upload/iblock/b5d/l35fa3xu8rtg0jdv6qhsxh72rrk518w8/%D0%92%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BA--%D0%B4%D0%B2%D1%83%D1%85%D1%82%D1%83%D0%BC%D0%B1%D0%BE%D0%B2%D1%8B%D0%B9_min.jpg;;;;
