Артикул;Цена;Размеры внешние;Вес, кг;Количество ящиков;Максимальная нагрузка;Тип замка;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Инструментальная тумба WD-1;10277руб.;840x460x640;19.5;;30;;корпус серый полуматовый (RAL 7038), двери синие (RAL 5002);порошковое;1 год;ПРОМЕТ;Россия;тумба комплектуется 2-мя съемными регулируемыми полкамимаксимальная нагрузка на полку - 30 кг возможность смены стороны открывания двери ключевой замок Практик;https://www.safe.ru/upload/iblock/b73/WD-1-priwie.jpg;https://www.safe.ru/upload/resize_cache/iblock/762/450_490_1/WD-1-2.JPG;https://www.safe.ru/upload/iblock/b73/WD-1-priwie.jpg;;
Инструментальная тумба WD-2;15173руб.;840x460x640;24;;1;;корпус серый полуматовый (RAL 7038), двери синие (RAL 5002);порошковое;1 год;ПРОМЕТ;Россия;тумба комплектуется съемной регулируемой полкоймаксимальная нагрузка на полку - 30 кгмаксимальная нагрузка на ящик - 30 кг возможность смены стороны открывания двери ключевой замок Практик выдвижной ящик оборудован телескопическими направляющими и ключевым замком Практик;https://www.safe.ru/upload/iblock/18b/tumba_wd_2_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/c00/450_490_1/tumba_wd_2_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f83/450_490_1/tumba_wd_2_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/6d7/450_490_1/tumba_wd_2_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/212/450_490_1/tumba_wd_2_4.jpg
Инструментальная тумба WD-5;19890руб.;840x460x640;38.4;5;;;корпус серый полуматовый (RAL 7038), лицевые панели ящиков синие (RAL 5002);порошковое;1 год;ПРОМЕТ;Россия;тумба состоит из 5-ти выдвижных ящиковтелескопические направляющиемаксимальная нагрузка на ящик - 30 кг ключевой замок Практик ;https://www.safe.ru/upload/iblock/aee/aeeba68d8fd5d467744313a04db0cc90.jpg;https://www.safe.ru/upload/resize_cache/iblock/595/450_490_1/wd_5_02_3.jpg;https://www.safe.ru/upload/iblock/aee/aeeba68d8fd5d467744313a04db0cc90.jpg;;
Инструментальная тумба Profi M-1;30269руб.;840x608x642;35;;120;;;;;ПРОМЕТ;Россия;2 съемные регулируемые полки, шаг 80 ммвозможность смены стороны открывания двериключевой замок ;https://www.safe.ru/upload/iblock/565/profi_m1_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/8e4/450_490_1/profi_m1_1.jpg;;;
Инструментальная тумба Profi M-4;58217руб.;840x608x642;55;4;90;;;;1 год;ПРОМЕТ;Россия;4 выдвижных ящиковтелескопические направляющиецентральный ключевой замок (2000 комбинаций)2 ключа в комплектебоковые прорезиненные бампера защищают торцы от непреднамеренного повреждения ;https://www.safe.ru/upload/iblock/c36/profi_m4_min.jpg;;;;
Инструментальная тумба Profi M-5;59645руб.;840x608x642;57;5;90;;;;;ПРОМЕТ;Россия;5 выдвижных ящиковтелескопические направляющиецентральный ключевой замок (2000 комбинаций)2 ключа в комплектебоковые прорезиненные бампера защищают торцы от непреднамеренного повреждения ;https://www.safe.ru/upload/iblock/70e/profi_m5_min.jpg;;;;
Инструментальная тумба WS-1;36715руб.;840x600x640;37;;100;ключевой;корпус серый полуматовый (RAL 7038), двери синие (RAL 5002);порошковое;1 год;ПРОМЕТ;Россия;тумба комплектуется 2-мя съемными регулируемыми полкамиполки с 100% выдвижениемкомплектуется 1-ой дверцей, установленную на петли, открывание двери 180° ключевой замок Практик 10000 комбинаций толщина стали корпуса 1.5 мм, полок 1.2 ммобщая нагрузка на тумбу 500 кгвозможна дополнительная установка комплекта колёс WS, и комплекта WS (коврик/лоток/экран);https://www.safe.ru/upload/iblock/405/WS-1-priwie.jpg;https://www.safe.ru/upload/resize_cache/iblock/37b/450_490_1/WS-1-2.JPG;https://www.safe.ru/upload/iblock/405/WS-1-priwie.jpg;;
Инструментальная тумба WS-6;66805руб.;840x600x640;67;6;80;ключевой;корпус серый полуматовый (RAL 7038), лицевые панели ящиков синие (RAL 5002);порошковое;1 год;ПРОМЕТ;Россия;тумба комплектуется 6-ю выдвижными ящикамиящики оборудованы телескопическими направляющими, в каждом ящике лежит коврик центральный ключевой замок Практик 10000 комбинаций толщина стали корпуса 1.5 мм, ящиков 1.2 мм общая нагрузка на тумбу 500 кгвозможна дополнительная установка комплекта колёс WS, и комплекта WS (коврик/лоток/экран)Полезные габариты ящиков, ВхШхГ, мм:2 ящика 45х490х5503 ящика 100х490х5501 ящик 220х490х550;https://www.safe.ru/upload/iblock/ae3/ae32e99cfeada0f439e1c32d740129c0.jpg;https://www.safe.ru/upload/iblock/ae3/ae32e99cfeada0f439e1c32d740129c0.jpg;;;
Ящик Profi WD-0;10200руб.;287x460x640;16,6;2;30;;корпус серый полуматовый (RAL 7038), двери синие (RAL 5002);порошковое;1 год;ПРОМЕТ;Россия;Ящик подвесной, может быть установлен под столешницы верстаков серии Profi и Expert или установлен на тумбы WD-1/WD-5 и образовывать модуль хранения.Нагрузка на ящик 30 кг. ;https://www.safe.ru/upload/iblock/842/Profi-WD-priwie.jpg;https://www.safe.ru/upload/resize_cache/iblock/6d0/450_490_1/Profi-WD_0-(3).jpg;https://www.safe.ru/upload/resize_cache/iblock/706/450_490_1/Profi-WD_0-(1).jpg;https://www.safe.ru/upload/iblock/842/Profi-WD-priwie.jpg;
Комплект WS-1;59843руб.;1509x600x640;47.2;;;ключевой;;;;ПРОМЕТ;Россия;Комплект состоит из:Комплект колес WS (4 шт.) Ручка WS Комплект WS (коврик/лоток/экран)Тумба WS-1 ;https://www.safe.ru/upload/iblock/9a4/9a44b200f39966ff2896e72f79b3cac9.jpg;;;;
Комплект WS-6;89933руб.;1700x665x640;87,5;;;ключевой;;;1 год;ПРОМЕТ;Россия;Комплект состоит из: Комплект состоит из 4 колес Ручка WS Комплект WS (коврик/лоток/экран) Тумба WS-6 ;https://www.safe.ru/upload/iblock/863/863edee9d931e5105bf1ffb314524737.jpg;;;;
Инструментальная тумба Expert T-1;46354руб.;800x600x650;46;;240;;корпус серый (RAL 7038), двери серый графит (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Инструментальная тумба Expert T-1 выполнена и металла толщиной 1.5 мм.Комплектуется 2-мя съемными регулируемыми полками, шаг регулировки 50 ммМаксимальная нагрузка на полку - 240 кгВозможность смены стороны открывания двериРигельная система запирания Ключевой замок Практик;https://www.safe.ru/upload/iblock/43d/v7ikgg80i4hsesv41tpr79v1jj4qa37s/tumba_expert_t-1_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/7f3/e2p1qne0p076iw3fn59rm6lcxrb3pmj2/450_490_1/tumba_expert_t-1_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/f5b/0w5vwshvhmi3w0wnjoaxri1hiqrc4tdn/450_490_1/tumba_expert_t-1_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/be9/jr6c665g9zbfvhxcrkp261odmpssbswy/450_490_1/tumba_expert_t-1_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/cd4/f8j1ll3fnlzdgxx14k1oyb85a3cowir1/450_490_1/tumba_expert_t-1_4.jpg
Инструментальная тумба Expert T-6;89531руб.;800x600x664;59;6;;;корпус серый (RAL 7038), лицевые панели ящиков  серый графит (RAL 7024);порошковое;1 год;ПРОМЕТ;Россия;Инструментальная тумба Expert T-6 выполнена и металла толщиной 1.5 мм.Комплектуется 6-ю выдвижными ящиками. (4-мя малыми, 2-мя средними). Ящики оборудованы телескопическими направляющими, каждый ящик укомплектован ковриком.Ящики оборудованы системой биркодержателей. Максимальная нагрузка на ящик – 120 кгЦентральный ключевой замок Практик 2000 комбинаций (2 ключа в комплекте)Полезные габариты ящиков, ВхШхГ, мм:4 ящика 75х500х500 мм.2 ящика 175х500х500 мм.  ;https://www.safe.ru/upload/iblock/c39/1hfo8j1t8mu0wdisan8ky7id0b3843qa/tumba_expert_t-6_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/717/pq2z9rh9led827vohojm0wwkwlpr4em1/450_490_1/tumba_expert_t-6_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/281/pvi7fvoh53f1bvxa78o8230ekllw4flm/450_490_1/tumba_expert_t-6_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/7da/fpr6dp40qeeatq0b3efw8yi8untoquvu/450_490_1/tumba_expert_t-6_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/eac/nlgo0ju61qef3oncqh3bwl8q9hol2id5/450_490_1/tumba_expert_t-6_5.jpg
