Артикул;Цена;Размеры внешние;Тип замка;Вес, кг;Формат документов;Внутренние размеры ящика;Максимальная нагрузка на ящик;Количество ящиков;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Картотека ПРАКТИК AFC-02;18243руб.;713x470x630;ключевой;28;A4, Foolscap (FS);267х391х560;30;2;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 30 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом габариты ящиков рассчитаны для хранения подвесных папок  формата А4 или  Foolscap поставляются в разобранном видеопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.) ;https://www.safe.ru/upload/iblock/6ee/afc_02_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/f03/450_490_1/afc_02_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/c45/450_490_1/afc_02_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/2b0/450_490_1/afc_02_4.jpg;https://www.safe.ru/upload/iblock/6ee/afc_02_min.jpg
Картотека ПРАКТИК AFC-03;26301руб.;1020x467x630;ключевой;39;A4, Foolscap (FS);267х391х560;30;3;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 30 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом габариты ящиков рассчитаны для хранения подвесных папок  формата А4 или  Foolscap поставляются в разобранном видеопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.) ;https://www.safe.ru/upload/iblock/5f2/afc_03_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/c36/450_490_1/afc_03_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/59f/450_490_1/afc_03_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/7ad/450_490_1/afc_03_3.jpg;https://www.safe.ru/upload/iblock/5f2/afc_03_min.jpg
Картотека ПРАКТИК AFC-04;32523руб.;1330x470x630;ключевой;50;A4, Foolscap (FS);267х391х560;30;4;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 30 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом габариты ящиков рассчитаны для хранения подвесных папок  формата А4 или  Foolscap поставляются в разобранном видеопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.) ;https://www.safe.ru/upload/iblock/0a3/afc_04_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/5d8/450_490_1/afc_04_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/d85/450_490_1/afc_04_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/667/450_490_1/afc_04_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/794/450_490_1/afc_04_4.jpg
Картотека ПРАКТИК AFC-04С;32523руб.;1330x470x630;ключевой;50;A4, Foolscap (FS);267х391х560;30;4;серый шагрень (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 30 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом габариты ящиков рассчитаны для хранения подвесных папок  формата А4 или  Foolscapимеют цельносварную конструкцию, увеличивающую жёсткость картотекиопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.) ;https://www.safe.ru/upload/iblock/22a/afc_04_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/889/450_490_1/afc_04_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/74e/450_490_1/afc_04_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/f2a/450_490_1/afc_04_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/4e8/450_490_1/afc_04_4.jpg
Картотека ПРАКТИК AFC-05;37638руб.;1634x470x630;ключевой;61;A4, Foolscap (FS);267х391х560;30;5;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 30 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом габариты ящиков рассчитаны для хранения подвесных папок  формата А4 или  Foolscap поставляются в разобранном видеопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.) ;https://www.safe.ru/upload/iblock/d66/afc_05_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/f26/450_490_1/afc_05_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/24e/450_490_1/afc_05_2.jpg;https://www.safe.ru/upload/iblock/d66/afc_05_min.jpg;
Картотека ПРАКТИК AFC-06;39372руб.;1327x553x631;ключевой;62;A5-A6;195x476x581;20;6;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 20 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом поставляются в разобранном виде картотеки AFC-06 возможно хранение документов или карточек формата А5 и А6, CD и DVD-дисков Опция: разделители и пластиныопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.)Аксессуары:Разделитель продольный для ящика AFC-06 Разделитель поперечный большой КП AFC-06/2 (2 ячейки, для формата А5)Разделитель поперечный средний КП AFC-06/3 (3 ячейки, для формата А6)Разделитель поперечный малый КП AFC-06/4 (4 ячейки, для формата А6) ;https://www.safe.ru/upload/iblock/56b/afc_06_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/ef1/450_490_1/afc_06_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/6b8/450_490_1/afc_06_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/1dc/450_490_1/afc_06_3.jpg;
Картотека ПРАКТИК AFC-06C;39576руб.;1327x553x631;ключевой;62;A5-A6;195x476x581;20;6;серый шагрень (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиковсистема полного выдвижения ящиковнадежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 20 кгоборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящиккомплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключомпоставляются в собранном видекартотеки AFC-06 возможно хранение документов или карточек формата А5 и А6, CD и DVD-дисковОпция: разделители и пластиныимеют цельносварную конструкцию, увеличивающую жесткость картотекиопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.)Аксессуары:Разделитель продольный для ящика AFC-06 Разделитель поперечный большой КП AFC-06/2 (2 ячейки, для формата А5)Разделитель поперечный средний КП AFC-06/3 (3 ячейки, для формата А6)Разделитель поперечный малый КП AFC-06/4 (4 ячейки, для формата А6) ;https://www.safe.ru/upload/iblock/29d/afc_06_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/b33/450_490_1/afc_06_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/23d/450_490_1/afc_06_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/37a/450_490_1/afc_06_3.jpg;
Картотека ПРАКТИК AFC-07;43554руб.;1327x515x631;ключевой;71;A5;168х433х581;20;7;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;предназначен для систематизации и удобного хранения документации изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014  телескопические направляющие выдвижных ящиков система полного выдвижения ящиков  надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 20 кг  оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик  комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом  Картотеки AFC-07 – используются для хранения документов или карточек формата А5 В комплект поставки входит: 7 разделителей, 14 компрессионных пластин  опция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.)  поставляются в разобранном виде Варианты расположения перегородок и размеры ячеек в ящиках Аксессуары:Пластина компр. для AFC-07  ;https://www.safe.ru/upload/iblock/df0/afc_07_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/25e/450_490_1/afc_07_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/745/450_490_1/afc_07_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/a3f/450_490_1/afc_07_4.jpg;https://www.safe.ru/upload/iblock/df0/afc_07_min.jpg
Картотека ПРАКТИК AFC-07C;43860руб.;1327x515x631;;71;A5;168x433x581;;7;серый шагрень (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 20 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом картотеки AFC-07 – используются для хранения документов или карточек формата А5в комплект поставки входит: 7 разделителей, 14 компрессионных пластин поставляются в собранном видеопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.)имеют цельносварную конструкцию, увеличивающую жёсткость картотекиАксессуары:Пластина компр. для AFC-07  ;https://www.safe.ru/upload/iblock/88f/afc_07_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/f69/450_490_1/afc_07_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/d21/450_490_1/afc_07_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/60b/450_490_1/afc_07_4.jpg;https://www.safe.ru/upload/iblock/88f/afc_07_min.jpg
Картотека ПРАКТИК AFC-09C;54264руб.;1327x470x631;ключевой;75;A6;128х393х581;20;9;серый шагрень (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. Изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014. телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 20 кгоборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящиккомплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом Картотеки AFC-09 - для формата А6В комплект поставки входит: 9 разделителей, 18 компрессионных пластинопция: окраска в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.)опция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.)поставляются в собранном видеимеют цельносварную конструкцию, увеличивающую жесткость картотекиАксессуары: Пластина компр. для AFC-09;https://www.safe.ru/upload/iblock/9c3/9c33cf10d91a95e74e4f18dbecaeed56.jpg;https://www.safe.ru/upload/resize_cache/iblock/d9b/450_490_1/AFC-09C-2.jpg;https://www.safe.ru/upload/resize_cache/iblock/0b4/450_490_1/AFC-09C-3.jpg;https://www.safe.ru/upload/iblock/9c3/9c33cf10d91a95e74e4f18dbecaeed56.jpg;
Картотека ПРАКТИК А-42;16764руб.;685x408x485;ключевой;21;А4;255х327х424;20;2;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 20 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом габариты ящиков рассчитаны для хранения подвесных папок   формата А4  или папок КОРОНА. Возможно хранения офисных и личных вещейопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.) ;https://www.safe.ru/upload/iblock/691/691a5216b5d869d2a52c40d379e66449.jpg;https://www.safe.ru/upload/resize_cache/iblock/354/450_490_1/A-42-2.jpg;https://www.safe.ru/upload/resize_cache/iblock/4c1/450_490_1/seriya_A_det1.jpg;https://www.safe.ru/upload/resize_cache/iblock/4ff/450_490_1/seriya_A_det2.jpg;https://www.safe.ru/upload/resize_cache/iblock/8a1/450_490_1/seriya_A_det3.jpg
Картотека ПРАКТИК А-43;22231руб.;995x408x485;ключевой;29;А4;255х327х424;20;3;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 20 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом  картотеки серии А, предназначены для хранения папок  формата А4 или папок КОРОНА. Возможно хранения офисных и личных вещей поставляются в разобранном видеопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.) ;https://www.safe.ru/upload/iblock/73f/73f1c98d66e972e0fe9a4466dc13a657.jpg;https://www.safe.ru/upload/resize_cache/iblock/558/450_490_1/A-43-2.jpg;https://www.safe.ru/upload/resize_cache/iblock/c0a/450_490_1/seriya_A_det1.jpg;https://www.safe.ru/upload/resize_cache/iblock/dd1/450_490_1/seriya_A_det2.jpg;https://www.safe.ru/upload/resize_cache/iblock/d16/450_490_1/seriya_A_det3.jpg
Картотека ПРАКТИК А-44;27984руб.;1305x408x485;ключевой;38;А4;255х327х424;20;4;серый полуматовый (RAL 7038);порошковое;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документации. изделия сертифицированы на соответствие требованиям ГОСТ 16371-2014телескопические направляющие выдвижных ящиков система полного выдвижения ящиков надежность подтверждена промышленным испытанием 50000 открываний, при нагрузке на ящик 20 кг оборудованы антиопрокидывающим устройством, не позволяющим одновременно выдвигать более чем один ящик комплектуются центральным замком ПРАКТИК (2000 комбинаций), с возможностью смены цилиндра и мастер-ключом картотеки серии А, предназначены для хранения папок  формата А4 или папок КОРОНА. Возможно хранения офисных и личных вещей поставляются в разобранном видеопция: окраска передних панелей в другие цвета из палитры производителя, +10% к стоимости (при заказе от 50 шт.) ;https://www.safe.ru/upload/iblock/409/4091e4271c5046de4d5fd519af59d0f4.jpg;https://www.safe.ru/upload/resize_cache/iblock/215/450_490_1/A-44.jpg;https://www.safe.ru/upload/resize_cache/iblock/7b0/450_490_1/seriya_A_det1.jpg;https://www.safe.ru/upload/resize_cache/iblock/ef7/450_490_1/seriya_A_det2.jpg;https://www.safe.ru/upload/resize_cache/iblock/eac/450_490_1/seriya_A_det3.jpg
Папка подвесная формата А4 (50 штук);3621руб.;240x345x-;;-;;;;;оранжевый;;;;Италия;Подвесные файловые папки используются в металлических картотекахВ выдвижных секциях хранятся документы формата А-4 по алфавитуПродукция изготовлена из прочного оранжевого картона с полимерными опорами, с помощью которых файл скользит по боковым ребрам ящикаОткрывая картотеку, пользователь может оперативно добраться до нужной информации;https://www.safe.ru/upload/iblock/c23/c231871bf103578d130f894bbe83fc55.jpg;;;;
Папка подвесная Foolscap (50 штук);4029руб.;245x370x-;;-;;;;;;;;;Италия;Подвесная папка Fullscape выполнена из плотного картонаПредназначена для размещения в ящике картотечного шкафаОткрывая картотеку, пользователь может оперативно добраться до нужной информации.                                ;https://www.safe.ru/upload/iblock/ea0/ea0fe4cac5ec431d7e8e9327ca17cf8e.jpg;;;;
Многоящичный шкаф ПРАКТИК MDC-A4/315/5;11093руб.;314x277x405;ключевой;8;А4;50x239x367;;5;серый полуматовый (RAL 7038);порошковое, антикоррозийная обработка;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документов формата А4, канцелярских принадлежностей и мелких предметовсварной корпус (сталь 1 мм) придает изделию повышенную прочность и долговечность в использовании полное выдвижение ящиков даже при полной загрузкеналичие центрального ключевого замка каждый ящик комплектуется информационной табличкой поставляются в собранном виде ;https://www.safe.ru/upload/iblock/688/6882052f6085244e677baf2e3362d1ed.jpg;https://www.safe.ru/upload/resize_cache/iblock/fff/450_490_1/MDC-A4_315_5-2.jpg;https://www.safe.ru/upload/iblock/688/6882052f6085244e677baf2e3362d1ed.jpg;;
Многоящичный шкаф ПРАКТИК MDC-A4/650/10;21191руб.;650x277x405;ключевой;17;А4;50x239x367;;10;серый полуматовый (RAL 7038);порошковое, антикоррозийная обработка;1 год;ПРОМЕТ;Россия;Предназначен для систематизации и удобного хранения документов формата А4, канцелярских принадлежностей и мелких предметовсварной корпус (сталь 1 мм) придает изделию повышенную прочность и долговечность в использовании полное выдвижение ящиков даже при полной загрузкеналичие центрального ключевого замка каждый ящик комплектуется информационной табличкой поставляются в собранном виде ;https://www.safe.ru/upload/iblock/c36/c36db4edc2b5806802711c6771d8518e.jpg;https://www.safe.ru/upload/resize_cache/iblock/564/450_490_1/564f314623b929ca1a8f9f9771b66ec5.jpg;https://www.safe.ru/upload/resize_cache/iblock/7dd/450_490_1/MDC-A4_650_10-2.jpg;https://www.safe.ru/upload/iblock/c36/c36db4edc2b5806802711c6771d8518e.jpg;
