Артикул;Цена;Размеры внешние;Габаритные размеры с учетом подпятников;Вес, кг;Количество полок;Цвет;Тип покрытия;Гарантия;Производитель;Страна;Описание;фото;Фото 2;Фото 3;Фото 4;Фото 5
Стеллаж MS Pro 200/150x60/3 b;22052руб.;1996x1612x603;1996х1676х610 ;68;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 3 ярусa с металлическим настиломНагрузка на секцию до 4000 кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/eea/ex73lyrrqpy5zwnlvjx35i3szjm0ws8t/stellazh_ms_pro_200_150x60-3b_min.jpg;;;;
Стеллаж MS Pro 200/150x60/4;26214руб.;1996x1612x603;1996х1676х610 ;68;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 4 ярусa с металлическим настиломНагрузка на секцию до 4000 кг, на ярус 450 кг ;https://www.safe.ru/upload/iblock/202/ms_pro_200_150x60_4_bez_napolneniya_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/6b7/450_490_1/ms_pro_200_150x60_4_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/482/450_490_1/ms_pro_200_150x60_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/c52/450_490_1/ms_pro_200_150x60_4_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/8c7/450_490_1/ms_pro_200_150x60_4_5.jpg
Стеллаж MS Pro 200/150x60/4 b;27173руб.;1996x1612x603;1996х1676х610 ;68;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 4 ярусa с металлическим настиломНагрузка на секцию до 4000 кг, на ярус 450 кг ;https://www.safe.ru/upload/iblock/44c/tzxc21kzfc52us64yng8oakhlpuyesed/stellazh_ms_pro_200_150x60_4_b_min.jpg;;;;
Стеллаж MS Pro 200/180x60/4;29039руб.;1996x1912x603;1996х1976х610;77;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 4 ярусa с металлическим настиломНагрузка на секцию до 4000 кг, на ярус 450 кг ;https://www.safe.ru/upload/iblock/dea/ms_pro_200_180x60_4_s_napolneniem_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/e6b/450_490_1/ms_pro_200_180x60_4_bez_napolneniya.jpg;https://www.safe.ru/upload/resize_cache/iblock/934/450_490_1/ms_pro_200_150x60_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/de2/450_490_1/ms_pro_200_150x60_4_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/9c5/450_490_1/ms_pro_200_150x60_4_5.jpg
Стеллаж MS Pro 250/150x60/4 b с сетчатыми полками;41371руб.;2496x1612x603;2496х1676х610 ;85;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и сетчатых полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 4 яруса с сетчатым настиломНагрузка на секцию до 4000 кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/16c/sp30coy8rq9ttq7akl2iiq4b5mwomzl8/stellazh_ms_pro_250_150x60_4b_min.jpg;;;;
Стеллаж MS Pro 250/150x60/4 с сетчатыми полками;39494руб.;2496x1612x603;2496х1676х610 ;85;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и сетчатых полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 4 яруса с сетчатым настиломНагрузка на секцию до 4000 кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/599/vqdphjwksq9qg1qjzim8rsa0kz9qlvf6/ms_pro_z_250-150x60_4_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/c76/8dhicpr6onfk3pm0zuoico74tv62gmqt/450_490_1/ms_pro_z_250-150x60_4_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/fd8/5papo09x3xfxtbd33pvo6kv38072zirm/450_490_1/ms_pro_z_250-150x60_4_2.jpg;;
Стеллаж MS Pro 250/150x60/5;32813руб.;2496x1612x603;2496х1676х610 ;85;5;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 5 ярусов с металлическим настиломНагрузка на секцию до 4000 кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/59e/ms_pro_250_150x60_5_bez_napolneniya_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/7d2/450_490_1/ms_pro_250_150x60_5_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/0e6/450_490_1/ms_pro_200_150x60_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/2d2/450_490_1/ms_pro_200_150x60_4_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/6b5/450_490_1/ms_pro_200_150x60_4_5.jpg
Стеллаж MS Pro 200/150x80/4 b;28723руб.;2996x1642x803;2996х1676х810 ;102;5;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 5 ярусов с металлическим настиломНагрузка на секцию до 4000кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/550/avktff83bvlno8qlvabmbj8dkekzepjo/stellazh_ms_pro_200_150x80_4b_min.jpg;;;;
Стеллаж MS Pro 300/150x80/5;35425руб.;2996x1642x803;2996х1676х810 ;102;5;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 5 ярусов с металлическим настиломНагрузка на секцию до 4000кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/de0/ms_pro_300_150x80_5_s_napolneniev_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/ce6/450_490_1/ms_pro_300_150x80_5_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/5cb/450_490_1/ms_pro_200_150x60_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/182/450_490_1/ms_pro_200_150x60_4_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/d7b/450_490_1/ms_pro_200_150x60_4_5.jpg
Стеллаж MS Pro 300/150x80/5 b;37398руб.;2996x1642x803;2996х1676х810 ;102;5;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 5 ярусов с металлическим настиломНагрузка на секцию до 4000кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/4bf/udxogaekltyz168go5ysj76r5vkwgu3q/stellazh_ms_pro_300_150x80_5b_min.jpg;;;;
Стеллаж MS Pro 200/180x60/4 b;30722руб.;1996x1912x603;1996х1976х610;77;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 4 ярусa с металлическим настиломНагрузка на секцию до 4000 кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/cac/ss1g9i0dk9updt7wmxlvrytopv6rt2hr/stellazh_ms_pro_200_150x60_4_b_min.jpg;;;;
Дополнительная секция MS Pro 200/150x60/4;22736руб.;1996x1580x603;1996х1612х610 ;58;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 4 ярусa с металлическим настиломНагрузка на секцию до 4000 кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/134/dop_sektsiya_ms_pro_200_150x60_4_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/e88/450_490_1/ms_pro_200_150x60_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/4d9/450_490_1/ms_pro_200_150x60_4_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/fa0/450_490_1/ms_pro_200_150x60_4_5.jpg;
Дополнительная секция MS Pro 200/180x60/4;25495руб.;1996x1880x603;1996х1912х610 ;68;4;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 4 ярусa с металлическим настиломНагрузка на секцию до 4000 кг, на ярус 450 кг ;https://www.safe.ru/upload/iblock/d2a/dop_sektsiya_ms_pro_200_180x60_4_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/907/450_490_1/ms_pro_200_150x60_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/76e/450_490_1/ms_pro_200_150x60_4_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/332/450_490_1/ms_pro_200_150x60_4_5.jpg;
Дополнительная секция MS Pro 250/150x60/5;28443руб.;2496x1580x603;2496х1612х610 ;73;5;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 5 ярусов с металлическим настиломНагрузка на секцию до 4000кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/84d/dop_sektsiya_ms_pro_250_150x60_5_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/85c/450_490_1/ms_pro_200_150x60_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/73f/450_490_1/ms_pro_200_150x60_4_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/faf/450_490_1/ms_pro_200_150x60_4_5.jpg;
Дополнительная секция MS Pro 300/150x80/5;30105руб.;2996x1580x803;2996х1612х810 ;87;5;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Предназначен для использования как на складах и производствах, так и в небольших помещениях – гаражи, торговые точки, кладовыеПолочные стеллажи представляют собой, легко собираемую и разбираемую конструкцию, которая состоит из вертикальных рам, закрепленных на них горизонтальных балок и разборных полокКрепление балки к стойкам безболтовое. Балка крепится к стойке на зацепах и закрепляется фиксатором, предохраняющим балку от случайного подъема. Балки могут переставляться по высоте с шагом 50 ммСтойки изготовлены из оцинкованного металлического профиля 55х47ммСреднегрузовой стеллаж MS Pro 5 ярусов с металлическим настиломНагрузка на секцию до 4000кг, на ярус 500 кг ;https://www.safe.ru/upload/iblock/b7a/dop_sektsiya_ms_pro_300_150x80_5_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/4b7/450_490_1/ms_pro_200_150x60_4_2.jpg;https://www.safe.ru/upload/resize_cache/iblock/4c0/450_490_1/ms_pro_200_150x60_4_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/892/450_490_1/ms_pro_200_150x60_4_5.jpg;
Гаражный комплекс;;2000x3912x603;;297;;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Гаражный комплекс - это удобная, сборно-разборная конструкция, которая позволяет наилучшим образом организовать рабочее пространство и обеспечить быстрый доступ к необходимым предметам.Возможно размещение на производстве, в гараже, в ремонтных и сервисных центрах, в складских помещения и т.д.Предназначен для хранения колёс, различных грузов, инструмента и прочих предметов.Особенностью является простота сборки и модульность комплектующих, а так же их долговечность и надежность. Стойки конструкции изготовлены с возможностью регулировки высот полок, ярусов, а так же выдвижных ящиков. Благодаря этому возможно разместить коробки и предметы различных размеров.Равномерно распределенная нагрузка на весь комплекс до 6000 кгНагрузка на ящики в средней секции – 80 кгНагрузка на шкаф-верстак – 1000 кгНагрузка на полку в средней секции – 400 кгНагрузка на ярус (секция с шинами) - 500 кгНагрузка на настенные экраны 20 кгГараж мечты состоит из стеллажного комплекса и шкафа-верстака (Шкаф Hard 1000):Средняя секция может изготавливаться в виде шкафа, перфорированными экранами для крепления инструмента, полками под ЧПУ инструмент, а также выдвижными ящиками и полками. В каждый ящик можно дополнительно установить перегородки-разделители.Рамы и полки изготавливаются из оцинкованной сталиВозможность устанавливать в секции и линии неограниченное кол-во секций гаражного комплекса.Возможность смоделировать индивидуальное рабочее место, исходя из личных пожеланий и предпочтений.Возможность анкерного крепления к полу.На рисунке изображен лишь один из возможных вариантов гаражного комплекса ;https://www.safe.ru/upload/iblock/bed/garage_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/4bc/450_490_1/garage_1.jpg;https://www.safe.ru/upload/resize_cache/iblock/1d8/450_490_1/garage_2.jpg;;
Инструментальный комплекс;;2500x3912x600;;297;;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Инструментальный комплекс представляет из себя удобную, сборно-разборную конструкцию, которая позволяет наилучшим образом организовать рабочее пространство и обеспечить удобный доступ к необходимым предметам. Возможно размещение на производстве, в гараже, в ремонтных и сервисных центрах, в складских помещения и т.д. Предназначен для хранения различных грузов, инструмента и прочих предметов. В каждом выдвижном ящике установлены перегородки, позволяющие упорядочить различные мелкие инструменты и крепежные изделия, а также разделить полезный объём ящиков на отдельные секции.Особенностью является простота сборки и модульность комплектующих, а так же их долговечность и надежность. Стойки конструкции изготовлены с возможностью регулировки высот полок, ярусов, а так же выдвижных ящиков. Благодаря этому возможно разместить коробки и предметы различных размеров.Равномерно распределенная нагрузка на весь комплекс до 6000 кгНагрузка на шкаф в средней секции – 2000 кгНагрузка на ящики, установленные в шкафу и в правой секции – 80 кгМаксимальная равномерно-распределенная нагрузка на каждый ярус стеллажа – 500 кгНагрузка на полки в средней и правой секции – 400 кгВсе секции могут быть дополнены перфорированными экранами для крепления инструмента, полками под ЧПУ инструмент, а также выдвижными ящиками и полкамиРамы и полки изготавливаются из оцинкованной сталиВозможность устанавливать в секции и линии неограниченное кол-во секций комплексаВозможность смоделировать индивидуальное рабочее место, исходя из личных пожеланий и предпочтенийВозможность анкерного крепления к полуНа рисунке изображена лишь одна из возможных вариаций данного комплекса ;https://www.safe.ru/upload/iblock/efd/instr_kompl_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/be2/450_490_1/instr_kompl_3.jpg;https://www.safe.ru/upload/resize_cache/iblock/783/450_490_1/instr_com_4.jpg;https://www.safe.ru/upload/resize_cache/iblock/556/450_490_1/instr_com_5.jpg;https://www.safe.ru/upload/resize_cache/iblock/583/450_490_1/instr_com_6.jpg
Инструментальный комплекс с рабочим местом;;2500x3912x600;;295;;;Порошковое / оцинковка;1 год;ПРОМЕТ;Россия;Инструментальный комплекс представляет из себя удобную, сборно-разборную конструкцию, которая позволяет наилучшим образом организовать рабочее пространство и обеспечить удобный доступ к необходимым предметам.Возможно размещение на производстве, в гараже, в ремонтных и сервисных центрах, в складских помещения и т.д. Предназначен для хранения различных грузов, инструмента и прочих предметов.В каждом выдвижном ящике установлены перегородки, позволяющие упорядочить различные мелкие инструменты и крепежные изделия, а также разделить полезный объём ящиков на отдельные секции. В средней секции установлен шкаф-верстак, что позволяет сэкономить полезное пространство помещения.Особенностью является простота сборки и модульность комплектующих, а так же их долговечность и надежность. Стойки конструкции изготовлены с возможностью регулировки высот полок, ярусов, а так же выдвижных ящиков. Благодаря этому возможно разместить коробки и предметы различных размеров.Равномерно распределенная нагрузка на весь комплекс до 6000 кгНагрузка на шкаф-верстак в средней секции – 1000 кгНагрузка на ящики, установленные в шкафу и в правой секции – 80 кгМаксимальная равномерно-распределенная нагрузка на каждый ярус стеллажа – 500 кгНагрузка на полки в средней и правой секции – 400 кгИнструментальный комплекс состоит из стеллажа MS PRO и шкафа HARD (Шкаф Hard 1000)Все секции могут быть дополнены перфорированными экранами для крепления инструмента, полками под ЧПУ инструмент, а также выдвижными ящиками и полкамиРамы и полки изготавливаются из оцинкованной сталиВозможность устанавливать в секции и линии неограниченное кол-во секций комплексаВозможность смоделировать индивидуальное рабочее место, исходя из личных пожеланий и предпочтенийВозможность анкерного крепления к полуНа рисунке изображена лишь одна из возможных вариаций данного комплекса ;https://www.safe.ru/upload/iblock/4f6/syst_2_min.jpg;https://www.safe.ru/upload/resize_cache/iblock/52a/450_490_1/syst1.jpg;;;
